Nome;BI;NIF;Morada;Codigo postal
Murilo Vilaça;8752462;906296506;Jaca;8764-421
Judas Paiva;1952849;373192782;Ribeira de Salselas;1734-283
Apolo Bispo;8841615;673554655;Forte do Rato;4987-246
Fred Romero;16896305;932144970;Forte do Rato;1576-69
Marinho Passos;11298702;942414585;Limeira;5303-636
Solano Gomes;4919465;296487168;Praia das Eiras;2802-28
Bruno Rainho;12331853;259530294;Ribeira da Carva;2284-616
Mel Figueiredo;4995670;273564590;Pico Ruivo do Paul;9067-714
Alberico Caires;14062136;231795252;Matos Brancos;5142-243
Ademar Rinaldo;5361139;383476375;Cacilhas;3151-195
Indro Pimentel;4814526;587948382;Assafarge;7361-443
Herculano Soares;10033931;94778104;Tuxufal de Baixo;7480-85
Isac Figo;1683061;419085715;Seixo Alvo;5209-181
Cristiano Girão;7584258;955721735;Alcareia;6298-21
Filinto Campelo;13811746;426636695;Casais do Chão da Mendiga;7047-101
Nero Torres;3636209;268970897;Menoita;4061-372
Susano Hora;17440177;993948830;Lagoa do Canário;2649-381
Leone Moutinho;16068492;409578858;Hotel Tivoli Tejo;1368-951
Timóteo Fontes;17449507;63782704;Ribeiro de São Mamede;4337-595
Arcádio Simões;6299064;557011266;Pedra da Galé;4482-368
Lindorfo Rainho;10906530;127044340;Alto da Parada;4115-689
Eder Vasques;9387782;688833154;Santos Cosme e Damião;1104-232
Ary Quintais;651363;179388022;Guedieiros;1971-684
André Brás;15131088;1180530;Novais;2037-596
Saulo Mota;9946334;246532513;Venade de Cima;1298-124
Eden da Costa;2866079;127486968;Sabacheira;6661-996
Mendo Cairo;2726062;406150044;Cortiço;3707-351
Hilário Carvalho;11169481;876405698;Vale do Serrão;8755-603
Ardingue Araújo;8856925;273229458;Penedo do Corvo;1854-734
Adorino Pereira;10084485;184406759;Ribeira do Canal;7343-998
Balbino Neves;3618027;316166730;Eirô;8245-51
Micael de Jesus Peixoto;4207021;490683517;Fatima Plaza;7248-301
Floriano Falcão;3287058;832362720;Golpilhal;5250-57
Donato Santos;16733953;283767803;Canidelo;8723-706
Ronaldo Ladeira;14063548;929860012;Esteiro de Maria Nova;4709-388
Leo Moreno;12912608;148804815;Barranco do Vale Santo;66-754
Berto Macieira;12974839;939451962;Ribeira de Margem;7925-616
César Crespo;11040582;788986761;Vale de Francos;3977-821
Orlindo Craveiro;15486464;357094373;Cerro da Mina;356-356
Lázaro Neto;14045762;669114949;Vidigal;8149-117
Leonildo Branco;3189976;94565375;Barreiro;1427-476
Onildo Resende;173669;335573254;Porto do Carro;8390-465
Mesaque Silvano;3734804;820002651;Vessadas;5773-46
Camilo Alfaiate;17615686;920485302;Pedras Brancas;551-549
Omer Balsemão;2923334;104739512;Pinhal de Casa de Nossa Senhora da Nazaré;7292-138
Amauri Miranda;8176726;182491674;Barranco da Cancelinha;6577-270
Áser Peres;19898732;928701847;São Bento do Zambujal;762-45
Alvarim Areias;805410;884119631;Cabeço de Lexim;3738-469
Ventura Lage;6792309;742513657;Serra da Amieirosa;7973-868
Laércio Postiga;12565919;571185046;Fajã da Ribeira da Areia;9389-125
Nelmo Sampaio;368140;645769489;Cabeço da Albardeira;9719-192
Justino Carrasco;3471737;724434817;Alto de Pinheiro;2574-2
Élson Porto;18757507;45713182;Fieis de Deus;5618-84
Caio Nunes;17905794;329210002;Ribeira da Canada das Faias;9756-64
Baltasar Maia;19961683;478979160;Montalegre;3397-487
Lúcio Guerreiro;6843966;118621653;Cerro da Canela;5693-820
Gedeão Pereira;14453482;301570079;Ribeiro da Lendiosa;5364-26
Vasco Cunha;14642277;855877794;Celas;5666-461
Herberto Carneiro;11952073;246629327;Conde;8914-277
Martinho Lameira;19618539;858349377;Hotel Le Meridien Park Atlantic Lisbon;2890-987
Lourival Pães;15113863;8905300;Outeiro do Grosal;8060-388
Natalino Peçanha;1411926;579822725;Apião;4671-956
Adriano Jesus;13104389;683021118;Ribeiro da Caranguejeira;8843-64
Adalsino Vasques;19141063;388916019;Madre de Deus;8638-568
Isaltino Cairo;18469038;244248881;Porto dos Melões;956-605
Nélson Lopes;14875131;452424418;Ribeira do Urzal;9263-537
Cristóforo Torres;15417440;22398220;Ribeira de Trás;173-117
Anaim Faria;9870105;717130691;Zeive;1030-566
Ronaldo Horta;5638770;589089617;Ribeira de Carvalhais;9849-427
Gerson Oliveira;1514715;551875363;Pêro Filho;1937-126
Nenrode Ramalho;18123116;707171873;Pico da Quebrada;320-758
Olivar de Oliveira;655929;209502282;Alto do Rodrigo;417-717
Aristóteles de Lima;12711430;281208777;Casal da Neta;4458-660
Fortunato Amaral;7859091;476314887;Ribeira de Antanhol;2483-701
Ambrósio Gama;1684799;757307146;Vera;8009-679
Durbalino Bernardes;9553127;947764820;Quinta da Lapagueira;6675-69
Vidaúl Nascimento;13054378;229606963;Bóbeda;8546-119
Aquino Carreira;5741537;31120019;Foupana;3387-475
Cristofe Espírito Santo;2591821;3049841;Jardins do Golfe I;8531-731
Íngue Gadelha;4527297;424025416;Mourisca de Baixo;6501-405
Saladino Fraga;12377015;473294717;Nordestinho;2470-259
Liberal Novo;10094979;530452883;Cana da Nazaré;4998-874
Vital Ramos;1849385;235795540;Silva Escura;8597-84
Tiago Novo;9058964;576560956;Monte da Cevada;1716-243
Charbel Peixoto;8290440;142451396;Vale da Saraça;84-382
Lemuel Lacerda;1402932;14011659;Vale da Azeda;6316-278
Elisiário Castelo;15666854;781184080;Sobral de Papízios;4706-633
Lito Camargo;4346439;923116212;Monte Meão;6357-804
Benedito Dourado;12969167;814650317;Velada;1919-503
Mis Maia;18319806;804549832;Enxames;8049-961
Leo Teixeira;9504477;436013493;Santo Aleixo de Além Tamega;8236-324
Remízio Leal;17488785;651880133;Choqueira;1546-362
Hélio Rinaldo;6094842;688722171;Ribeira do Tremelgo;6858-460
Élton Dâmaso;3563850;829030960;Barranco da Rocha de João Cordeiro;9946-695
Ausendo Pedreira;13789299;556539648;Vide entre Vinhas;3939-38
Principiano Camara;9173515;986817954;Liceia;1562-541
Mair Pietra;15704326;696382859;Sagolga;8669-342
Barnabé Palermo;10516568;764055952;Novelas;834-749
Dieter Romero;6975833;850539945;Mourelos;6941-634
Anania Lima;5779171;958138609;Chan;7363-443
Gomes Gameiro;2158770;937416286;Casais Martanes;6247-445
Deolindo Azevedo;19213553;714277267;Boavista;1539-114
Marino Vicente;4274366;430215894;Cabeço do Torrasterra;4759-389
Bernardim Sousa;10133016;934441153;Pestana Casino Park;4084-877
Gersão Vicente;11064001;328943980;Vale de Pousadas;3838-852
Luís Figo Pedrosa;2569838;293102904;Cerro do Seixo;3486-983
Silviano Pedroso;12137095;514227281;Pedros;3853-541
Eden Guerreiro;5306336;773603438;Lagoa da Barradinha;65-703
Urien Barroso;13243962;130268540;Ribeira do Rabagão;8970-395
Jonatã Gouveia;7220866;823090315;Barranco da Atafona;8603-958
Eduardo Canelas;7135004;332304868;Esteiro das Cinco Redes;6058-538
Luciano Luz;3117169;654960271;Vip Executive Villa Rica;2823-749
Alfredo Salvador;1774406;303637737;Faceira;2086-913
Edo Rodrigues;16129080;565550201;Corgo do Marmeleiro;7711-914
Abdias Irmão;6036469;81854097;Cancelo;7128-98
Décio Torres;3635557;253923344;Ribeiro do Vale Cebola;8151-683
Josefo Pascoal;7097199;62345703;Regadas Cimeiras;8834-873
Delmiro Queiroga;13106442;641302065;Barranco da Figueira;6613-51
Procópio Carvalho;1723649;234347195;Rouba;8373-875
Adelmo Reis;1635472;842115691;Seia;2367-73
Sidnei Amaral;5992116;605254401;Ponte de Vilela;6287-611
Benvindo Alencar;1054152;593368342;Ribeira dos Souseis;3620-450
Alfeu Macieira;14817026;99266486;Colgadeiros;6142-277
Zadeão Couto;2418130;967893307;Moredo;8361-123
Vito Souto;9664577;776712917;Moliana;3617-886
Édi Correia;9246408;255510254;Casal Lourenço;3858-674
Marílio Ramos;10321340;624599257;Altis Park;5789-869
Isandro Valverde;2260975;969894412;Alto do Castelo;2685-568
Adelindo Costa;9842789;680411429;Corados;9908-209
Aparício Lousada;14351827;663270717;Ribeira de Selões;3139-911
Adauto Peçanha;4410622;550486653;Ribeira da Magueija;2683-461
Delfim Bastos;7023094;861278112;Sotelo;5162-536
Isaque Bento;9069589;290557499;Nabais;3777-867
Martins Figueiredo;6590520;974181777;Chilrão;9840-728
Humberto Mendonça;19091664;386326784;Romam Bridge of Rodeiro;3213-941
Plínio Meleiro;13193921;931290961;Rio Ponsul;9223-498
Alítio Mota;18581327;597640860;Monte de Atoleirinhos;5403-336
Laurentino Ronaldo;16086611;578112742;Lixa do Alvão;5985-968
Adílio Aleixo;3774875;491931044;Saborosa;7837-7
Dilan Reis;12631419;405760733;Paredes de Cima;8801-621
Adruzilo Peixoto;2516158;438881517;Cabeço do Pelorenço;5992-431
Marcus Lima;6130556;117678811;Guerreiros do Rio;2443-323
Moisés Junqueira;28643;661353805;Espartosa;3273-172
Rogélio Brito;7737342;49916463;Ribeira de Santa Bárbara;1910-696
Aldónio Ladeira;257336;257724548;Cerejeiras;4371-668
Cícero Pontes;17372762;373042009;Casais dos Correias;4086-369
Adonias Candeias;1311098;356917528;Ribela;6515-148
Firmino Romeiro;14234190;932250563;Ponta da Ajuda;1805-977
Denis Cardoso;17708205;356976728;Castelo Picão;4973-221
Ódin Camara;19126607;321599975;Falgorosa;9507-326
Asdrúbal Sequeira;14458780;734871660;Cabeço das Torvas;2593-961
Naod Rio;10488057;621838438;Boelhe;4112-766
Arnoldo Araújo;7847782;147137042;Ponta d’ Areia;3523-33
Cristofe Esperança;464425;800777971;Juromenha;1230-771
Remígio Mendes;902787;252962167;Casal dos Secos;9954-102
Garcia Infante;1607656;288066313;Fresulfe;2798-119
Eládio Geraldes;12380922;513651610;Monte da Costa;8813-280
Mauri Esperança;4932846;404973724;Monte de Goula;2730-154
Requerino Verde;2771745;90464937;Pinhal do Junco;6251-426
Alvarim Câmara;644948;337076270;Gravanço;2002-772
Adorino Paiva;3359578;827646457;Refoios;4256-893
Assis Almeida;7445738;940423369;Casais dos Matos;2844-651
Leonardo Cardoso;16560787;66914556;Ribeira da Senhora do Fastio;5765-338
Bianor Morais;2170859;359168751;Ramisqueira;8327-728
Paulino Bernardes;9874113;522066189;Esteiro;679-689
Fernão Manso;18362155;514829805;Ribeira de Veigas;1337-572
Armando Barros;12467179;907688289;Vale dos Lobos;8215-153
Aminadabe Andrade;11564069;402919295;Boca dos Barris;1724-714
Cedrico Neto;15872985;643946900;Esculca;5937-619
Hermano Peixoto;6654075;604168418;Ribeira da Chapa;3340-239
Reginaldo Abelheira;7840321;621127734;Serra de Santo Tirso;8379-850
Carlos Camacho;330209;808850312;Sobral Magro;6519-42
Arcádio Soares;17280697;307393124;Frades;2807-103
Alder Gadelha;14832353;847188915;Peralcovo;9662-450
Arcílio Pires;7455497;525774677;Casabela;9444-729
Cláudio Soares;16607921;69171512;Abeção;2414-996
Natálio Sanchez;12786979;335513190;Farrapa;7708-890
Élsio Guerreiro;7161864;438641635;Barroças e Taias;4296-657
Gonzaga Castro;12905810;433105797;Barranco da Boizana;7444-262
Juventino Menezes;13093766;461763388;Lagar Novo;3105-949
Aminadabe Noronha;3706216;531122232;Canal de Faro;5900-783
Alberto Moura;15573148;806513205;Barranco da Água de Peixe;3114-440
Nói Bandeira;12497340;606830548;Do Caramulo;9195-272
Roberto Oliveira;8130424;106936309;Vale do Torno;3306-164
Alvário Marques;16332065;878461897;Barranco de Vale de Condes;5693-280
Aparício Gaspar;13425344;210875888;Lamelas;441-904
Misael Geraldes;11563912;24505753;Ribeiro da Cangada;4199-860
Ioque Pessoa;7722289;730453098;Horta da Revesa;8785-267
Aldónio Custóias;15332981;998700350;Pedra Alta;3691-680
Wermeson Silvinho;16383598;726983910;Ribeira de Vale Mourato;1872-377
Zebadiah Passos;8838466;182110939;Picada;4033-552
Heitor Moutinho;13607028;946548953;Caldeiro;9987-919
Jacó Silvano;7256535;841959385;Silveirinho;5772-337
Rubim Júnior;11968397;574606595;Ribeira da Prainha;3465-922
Virgínio Pinto;18694589;369523840;Vale de Rabão;8702-245
Nísio Gomes;41883;337544939;Ribeiro do Tapadão;1801-122
Ademar Leite;11442870;779798622;Cume do Soito;7770-445
Lénio Saraiva;16101498;205316134;Almacinha;1470-173
Urias Sousa;5614671;945984363;Matacães;3016-3
Cidalino Morais;17041469;62417364;Ribeira de Veigas;6770-802
Mago Farias;9077285;355547828;Alto do Viso;8781-399
Adriel Bessa;9168627;826797225;Avelãs de Caminho;8221-653
Arine Rufino;1688197;498451148;Cancelos de Baixo;4274-289
Turgo Cavadas;15829006;279235694;Açores;8344-261
Normano Ferreira;15586610;471873470;São Martinho do Souto;3901-183
Lidório Garcia;13140326;454859457;Barranco da Umbria;3870-683
Ademar Peçanha;8623376;803063794;Cachave;3494-715
Jardel Vicente;1915357;512836526;Barranco do Vale da Fonte;9060-689
Alpoim Hora;8858336;912590188;Lameiras;9210-256
Belisário Abrantes;17257305;424740794;Marmelal;3350-585
Caleb Bastos;7222231;843323376;Cabeça Rasa;1202-444
Varo Bernardino;4036826;356689876;Seide;5841-275
Cireneu da Costa;11647659;412539499;Clube Alvorferias;4542-252
Aladino Sousa;771307;691433669;Cabeço do Caminho Escuro;6931-254
Franklin Fernandes;11822240;941220384;Vale Fontes de Cima;9135-547
Quirino Carvalhal;7038070;925384442;Gondoriz;2032-441
Betino Guimarães;15712584;720747987;Barreiros;2986-401
Flávio Moreira;17295666;195426800;Cascalhos;3458-891
Sotero Santiago;11600744;654030330;Ribeira do Rinheiro;2632-389
Lígio Rebelo;15629503;748809287;Várzea de Abrunhais;1439-800
Perfeito Moura;6336947;232192409;Barranco do Ratinho;6643-436
Ferdinando Carrilho;18779078;230084597;Juncais de Baixo;49-554
Josias Teixeira;6107392;265251734;Montinho das Galhardas;8830-967
Gentil Vieira;1076223;508567420;Gavinheira;8934-546
Hermes Cordeiro;1261782;357349282;Monte Senhora da Lapa;4299-246
Jaques Machado;16663461;514644989;Várzea de Baixo;2253-536
Isidro Nóbrega;7160947;169622707;Tarouba;5174-206
Rodrigo Estrela;17447559;25321730;Esteiro da Arreia;5826-288
Leonício Montanha;2897020;730993758;Serra da Lapa;1745-61
Amauri Palma;14282132;624695997;Foz do Arroio;1294-162
Jocelino Vasconcelos;9294926;616381751;Moreira do Castelo;9221-917
Zaíro Carvalheira;11906255;996497510;Sarzeda;7236-981
Neóteles Pontes;17810612;853827545;Porfia;3370-854
Fulgêncio Veiga;14885325;862611053;Ribeira de Agodim;1096-26
Mílton Godinho;9615490;811505337;Ameais;703-566
Pacal Peralta;10306785;710212015;Praia da Oura;8405-512
Viriato Silvano;15408569;309683964;Ribeira da Fervença;8913-904
Adonias Anjos;2147171;987668391;Redial;2301-101
Vêndel Guerreiro;1758978;551270792;Colina Village;1659-677
Átila Carreiro;10549708;55325960;Rio da Mula;4922-38
Saladino Cabanas;6064114;903930926;São Bartolomeu do Outeiro;3014-822
Guido Oliveira;10495103;697854463;Ibis Braganca;1361-81
Miguel Ramalho;1494627;957156642;Distrito de Setúbal;4396-685
Gustavo São Romão Leal;12934264;157262157;Pontido;8778-951
Carmério Correia;11115969;239680272;Tozeiro;3195-172
Lineu Castelo;12180947;996641803;Barranco do Louredo;2490-148
Paulo Palhares;343092;854490133;Barranco de Vale de Alcaide;1856-782
Ralfe Ferraz;6506810;258591071;Quebrada;4578-198
Crispim Torres;14923539;807823304;Cachopo do Norte;8588-466
Osmar Rebelo;7375801;636599109;Lagoa da Vela;5969-434
Anísio Ferreira;17748139;223424299;Pouso;682-93
Áureo Nazario;4455152;641698335;Real de Cima;5439-530
Magdo Balsemão;8507637;870493956;Quinta das Vistas Palace Gardens;5353-607
Anaim Parreira;3927975;663024814;Flamengos;731-325
Enoque Arantes;17207303;644284390;Samarra;9801-645
Fradique Abrantes;15083549;309388674;Ribeiro da Alface;7906-310
Romão Pinto;9478708;189234016;Findal;4573-12
Zebilon Assis;4844378;140397617;Barranco do Vilar;2086-43
Arlindo Andrade;10263178;681179520;Ribeira das Toirinhas;4506-708
Alito Cairo;8790773;449548342;Alvarelhos;772-431
Neotero Ladeia;11930212;616507557;Lagos;7223-584
Diotil Azevedo;6602773;277646449;Famalicão;1989-955
Faustino Morgado;3060612;42686949;Cabeço do Odre;275-795
Aminadabe Gouveia;9978232;364001827;Freigil;7105-663
Isaías Martins;11276598;430197821;Caliços;4147-862
Gildo Constantino;5755209;142512264;Ribeira de Muchalforro;2891-218
Paulo Sampaio;14582882;517867550;Estação de Cabrela;1557-494
Bruno Faria;3216130;973334006;Pinhal de Santo Amaro;6404-36
Ângelo Cerqueira;15940118;518217594;Da Nazare;1952-604
Lineu Encarnação;13245411;80262586;Confulcos;6343-731
Oseas Martins;5363079;641615631;Messejana;640-494
Osório Luz;17362914;695614257;Baixa das Arindas;2011-240
Duarte Camacho;4966805;128301012;Ponte de Vagos;8824-958
Nazário Jordão;15847947;798546597;Serra de Selada;3648-484
Hildegardo Ruas;4495940;221674888;Ponta Ruiva;5815-6
Hélmut Cairo;15257210;618182217;Cabeço dos Bolegões;1366-16
Aitor Ribeiro;12465796;76288488;Lomba do Vime;5772-73
Amauri Castelo;13803555;384375126;Boeiro;1472-977
Baqui Campos;19452850;167044860;Barranco do Zevinho;4755-652
Clodomiro Alcântara;10756715;93115878;Vilar do Senhor;6739-227
Márlon Parente;19775707;631595743;Barranco do Bilharó;3059-84
Zebilon Silva;7631920;682963246;São Domingos da Ordem;6941-936
Gusmão Mourão;2878830;156169495;Cedovim;5635-477
Omer Messias;9121338;330542570;Poço dos Cães;5031-610
Eustácio Soares;10985797;367985977;Ribeiro da Sardinha;2685-627
Varo Machado;9768278;71930487;Lutreu;5345-208
Bibiano Ferreira;2202300;562723034;Da Rocha;7283-594
Ernâni Borges;14432416;422799762;Arneiro do Pisão;1254-447
Antenor Castelo;13887320;764475954;Ribeiro do Barranca;4170-471
Guadalberto Vilaça;19461699;548476999;Vale da Azenha;1859-866
Lázaro Leal;62666;597066318;Cubalhão;6526-639
Jacinto Moniz;19102246;932761453;Bezelga de Cima;6483-395
Áureo Moniz;1156812;261906851;Louçainha;8878-381
Riu Praça;17607181;943097424;Souto da Ruiva;578-84
Russel Marques;548370;724937513;Barranco dos Queimados;5765-486
Tércio Ramos;7433609;864909634;Tortola;6976-335
Primitivo Mourão;4464091;81790117;Ribeira da Maia;9763-760
Janai Encarnação;16855631;18492706;Ponta de São Jorge;9338-139
Dejalme Bernardes;19572199;696529348;Hotel Baia do Sol;3197-868
Gustavo São Romão Assis;18625235;492819722;Valença;9888-370
Arnaldo Rainho;818527;395800262;Dom Pedro Golf Resort;7635-594
Jesualdo Barcelos;10498703;45269369;Cabeça do Travessadouro;5544-819
Fred Osório;2610028;132321110;Santo Adrião;3458-519
Idelso Madureira;11099091;966959406;Corgo de Vale Pevinos;4233-272
Charbel Silva;1242946;346526928;Alturas da Esteva;4161-161
Urien Hipólito;8082747;799732505;Clarion Suites Lisboa;6256-267
Tude Gonzaga;9731945;146177773;Póvoa de Medronhosa;2471-733
Natércio Albano;15145146;417769948;Orelhudo;8287-354
Lucas Guedes;370908;667921212;Ferrel;9856-932
Felício Madeira;4803851;272551348;Ribeiro do Foro;1273-327
Fabião Silva;10979827;704341080;Ribeira de Remourinho;8282-799
Judas Nogueira;12328124;569862934;Ninho do Grou;2089-482
Isildo Ferrão;17800693;413072497;Vila Nova da Veiga;5028-49
Sandrino Peçanha;5101438;193498602;Toucinhos;761-432
Vidaúl Osório;7859910;126775705;Raposeira do Logarinho;7135-766
Libertário Lobo;19912402;275344737;Praia dos Coxos;4228-943
Maximino Simão;19062419;458467224;Soudos;2986-994
Valentino Amaral;14630131;919184307;Torre de Pinhão;3300-223
Zafriel Garcia;13056929;915566749;Rio Sul;2896-116
Reinaldo Alegria;8651712;428925537;Boca do Inferno;794-570
Nicásio Silvano;18346716;646862876;Portinha;5188-173
Nilton Silva;14200496;671430666;Arrancada;7808-154
Giovani Estrela;9737945;37695000;Ramila;7119-932
Warley Romão;15791349;19068634;Ribeira das Nove;3824-966
Madate Barradas;6935159;267951441;Escalos do Meio;2998-174
Bárbaro Miranda;9557167;28639089;Portelinha;4655-211
Adner Beja;19548133;631486769;Cidreira;3604-475
Bibiano Medeiros;2106521;31599923;Ribeiro dos Marmelos;3006-873
Prado Pimenta;17598657;855029113;Palácios;4812-280
Júlio Gomes;411877;30547351;Corgo da Feteira;1033-319
Lindorfo Ferreira;12364612;158043458;Ponta dos Altos;7519-82
Rói Macedo;3606741;247952825;Ribeiro do Pico;9057-666
Gueir Morgado;9224448;831177545;Ponta dos Azulejos;4015-64
Gentil Brandão;19016401;68028763;Estrela da Luz;7514-746
Jaime Gaspar;19899956;788592060;Ponta de São Brás;9247-33
Tirso Pires;11702518;500451539;Quinta da Pedra Escrita;1317-969
Vando Caires;4256670;122327283;Cirquidolo;9811-785
Érico Carreira;17507002;913098368;Vestiaria;9417-416
Râdamas Franco;18414038;279276693;Tábuas;3888-728
Simauro Alecrim;15639775;506563676;Bom Visinho;5158-436
Marolo Otelo;18808407;176816503;Raso;5149-668
Alírio Penim;3788234;72871400;Tivoli Ocean Park;7190-377
Carmério Morais;13141934;772067612;São Pedro do Souto;4825-874
Gersão Pimenta;12508093;653407226;Saldanha;1150-855
Teodemiro Meira;19507879;398945929;Vala da Azambuja;459-226
Sertório Antunes;7892627;798192092;Sabadão;2955-503
Eli Veríssimo;18150318;616106826;Conlela;30-115
Vidaúl Caneira;17975855;35720900;São Barnabé;2715-667
Zózimo Menezes;13702641;699510470;Portela da Memória;6645-783
Austrelino Sim?es;15557522;871342084;Quintas;4720-638
Antelmo Guerra;6780301;894466710;Ribeira do Azevelinho;3082-118
Valdir Maia;16368460;929473359;Barracha;2573-499
Sidraque Amorim;3820287;916526763;Ribeira do Vascanito;8667-203
Dário Raposo;8416508;727668902;São Torcato;7092-333
Zaíro Guedes;15416381;650972529;São Marcos da Abóbada;6399-100
Evelásio Albano;19795850;191353749;Pousada de Mesao Frio;6-300
Quirilo Santana;15639943;314007139;Dom Pedro;136-967
Eliab Paião;8173711;795868513;Hotel Do Colegio;1152-821
Mimon Almeida;1911097;940847971;Alto do Vale da Pala;8353-861
Guimar Pessoa;19248880;958921038;Setil;298-138
Rúdi Guerra;16583083;927433817;São Jacinto;8560-581
Apolo Chaves;608585;350580927;Ameal;7663-56
Casimiro Santana;7557541;210467095;Porto da Balça;4125-3
Saulo Delgado;5280151;313627108;Ribeira de Escarias;2694-425
Selésio Cerqueira;10847139;695953386;Crato e Mártires;6585-444
Eden Tavares;1142268;876107251;Hotel Solverde;2028-721
Janardo Pedrosa;9958527;361751643;Sousa;8707-119
Clodomiro Taveira;6541320;183436354;Azurém;3929-512
Adónis Rainho;13180567;242790222;Chão de Lamas;8334-572
Nereu Pires;4939978;237407567;Mós de Celas;5120-45
Almiro Durão;14064402;672747661;Olelas;8757-291
Guildo Nascimento;10219058;921011273;Arrentela;8144-169
Jóni da Maia;12966913;127870421;Pescanseco Fundeiro;938-525
Édi Carvalho;19481106;735230035;Selvagem Pequena;958-350
Arménio Amorim;19443873;890874862;Pipe;6872-984
Alberico Gaspar;17410515;256088549;Baía do Madressilva;5466-609
Graciliano Rio;14413875;252683499;Borralheira;8695-977
Graciliano Resende;9351707;493451089;Ribeiro da Cabeça de Pau;9945-428
Fernão Pontes;16374765;917520255;Via Don`ana;2221-550
Liberto Penim;2643579;404594313;Bico da Pedra;1899-668
Domingos Frias;9135939;645966886;Conlela;8842-79
Sacramento Macedo;60490;532938704;Residencial Polana;2392-474
Aires Pascoal;12758072;181169207;Nascente da Ribeira da Varziela;8665-362
Juvenal Balsemão;8277708;304131727;Pestana Viking Resort;1889-74
Máximo Moura;1794744;498533236;Barbito;5953-256
Galiano Feijão;7335706;680081768;Cabeço do Canto da Ribeira;1482-261
Prado Brandão;12003190;40704390;Ponta da Coada;374-779
Élson Furtado;1325957;699007032;Ribeiro de Gondelim;8918-625
Roque Bernardes;9820670;611853519;Ribeira do Fontão;2206-859
Robim Rufino;10376218;385003321;São Pedro do Sul;3770-357
Eusébio Barbosa;18083450;128827820;Cerejeira;65-61
Osmano Assunção;17498193;170531491;Mei;7115-309
Azélio Abreu;5239605;290123680;Cova de Lobo;7668-27
Zaido Franco;13936827;722319883;Piscouxe;9417-769
Isildo Loredo;13803932;959254223;Hotel Lutecia Lisboa;269-904
Bianor Leite;4192901;502226884;Toita;6337-519
Cursino Arruda;7758051;455826106;Alto do Carqueijal;9080-57
Aquira Sousa;19066636;510521911;Pico Rachado;8550-75
Franclim Costa;5349103;310039720;Ribeiro da Várzea;2645-937
Dinarte Carneiro;17884137;258248009;Fanadia;2824-155
Godofredo Pires;14391158;659835693;Serra do Murico;4416-676
Everardo Camacho;5491122;537378905;Inguias;5171-635
Rufino Areias;15221311;172833150;Ribeira do Zimbral;7158-770
Albertino Carreira;13685433;745714698;Ribeiro Trás do Muro;2418-29
Cícero Gouveia;3813350;273681017;Tões;3475-116
Gabínio Borges;7785129;930455965;Assureiras do Meio;2214-817
Adonias Duarte;1576248;194662702;Ilha do Faial;3458-850
Clídio Porto;8770845;51699898;Pedra da Agulha;9875-103
Guimar Carvalheira;6288345;149243662;Marta Ruiva;1407-64
Adauto da Costa;9989174;800303840;Serra de Mor;5558-545
Higino Paias;1140480;224902130;Coelheira;9371-586
Sandro Coelho;3045449;385755391;Ribeira das Mós;1205-116
António Martins;3346658;376425220;Bom Velho de Cima;1919-181
Judá Peixoto;12000144;864114970;Ponta do Pesqueiro Velho;3959-699
Valgi Alvim;7542812;587401319;Senhora da Nazaré;9842-375
Sadi Alvim;323449;440092901;Taveiro;3869-712
Jasão Nascimento;6850815;188342759;Corinthia Lisboa;6244-183
Davide Gonzaga;18476521;571479629;Cabanes;7892-779
Seleso Abreu;6529748;903190928;Aveia;8302-85
Romã Almeida;15575343;687786905;Rabaçal;9107-2
Lauro Novo;10294259;879523197;Forcado;5319-142
Filoteu Rocha;3389831;629613705;Pestana Dom João II;9730-333
Heleno Peixoto;6587105;4988185;Pinhal do Fidalgo;6132-741
Acúrsio Chaves;19170676;971797014;Ribeira de Ximassas;9878-169
Adónias Menezes;9158738;28606567;Portela dos Pegeiros;1323-125
Rossano Rios;2618214;909278054;Noselos;611-522
Vladimiro Brás;1703574;404053838;Hotel Dom Pedro Palace;103-785
Bianor Granado;11518866;952797745;Montengrão;8797-726
Idálio Monteiro;6993600;193578146;Barranco do Carvalhal;7284-132
Aldo Medeiros;17750408;421643170;Ribeira de Maltim;753-790
Nelmo Ferreira;16555938;126365599;Bogim;2371-420
Felisberto Carreira;3253435;823801414;Valarinho;1423-438
Bartolomeu Carrasco;13519136;134171064;Ribeiro de Longra;1417-276
Airton Paredes;8865029;855766104;Hotel As Américas;3139-426
Nil Peres;7650362;630848514;Ribeira das Águas;3181-905
Zafriel Verde;4645268;970855998;Barranco do Castelo Velho;2137-541
Mar Graça;5983283;218381239;Reveladas;2224-41
Genésio Rosa;7344058;789240649;Quinta do Pedroso;5512-817
Cosme Taveira;6904616;560222737;Água Boa;2746-846
Uriel Pacheco;2510902;294622242;Hotel Olissipo Castelo;5303-921
Válter Brandão;2310111;506436490;Altos da Xincheira;2335-862
Zacarias Souto;1666171;128111775;Coroados;8998-850
Madjer Borges;5326290;722317189;Ponta do Pesqueiro;1113-50
Áureo Rio;5001115;916199586;Margaride;9605-685
Pedrino Sarmento;1441138;182342463;Ilhéu do Topo;2211-917
Jonatã Gil;14259480;640623147;Ribeira da Balsa;933-364
Roli Meleiro;1640479;220194360;Ribeiro da Malaguarda;1590-481
Almurtão Carneiro;9871466;750093920;Quinta da Fonte Santa;2169-376
